File,Bytes,RowsRead,Columns,Head1MiB_SHA256,SamplingRule,Status
part-00000-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,70337132,1066,47,93391b4c5becac65,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00001-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,64480675,1066,47,ade7ccb06872ffd2,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00002-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,81098243,1066,47,15cbbf9e3f6f7c21,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00003-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,68051400,1066,47,611d79c0d319ef81,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00004-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,67007207,1066,47,80786f0bdd78afb1,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00005-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,70729011,1066,47,35244534c828adee,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00006-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,68849887,1066,47,1596b78bdf77e01a,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00007-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,67153124,1066,47,1096540d4516c247,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00008-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,72588116,1066,47,860c0822f5af035d,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00009-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,67055876,1066,47,e1434a2386125fac,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00010-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,74085935,1066,47,cef0b7cd7cb7eed0,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00011-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,65390551,1066,47,20fbf1e547f4b922,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00012-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,70266581,1066,47,e9eaa53cc60034eb,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00013-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,70324474,1066,47,53cc4093be5ba4ac,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00014-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,63581910,1066,47,676e15d3ff56887d,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00015-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,79141048,1066,47,9d8c6a4766f7813e,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00016-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,68612370,1066,47,37c76e8cbfc5fa14,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00017-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,65811521,1066,47,ba16e08c4e538561,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00018-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,69052134,1066,47,08d8f99532d52ce8,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00019-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,68075117,1066,47,66a8375e1d8e6d84,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00020-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,69864603,1066,47,7363794044aa7308,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00021-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,65796329,1066,47,c8a701e08a022cbe,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00022-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,74297036,1066,47,39af340272358a72,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00023-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,77214111,1066,47,5151e01445a554a5,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00024-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,66492051,1066,47,e58acb60013312e4,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00025-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,131863205,1066,47,9fc1d26299a21564,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00026-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,69611996,1066,47,37524c38a0c890e8,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00027-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,65160540,1066,47,260627fb2bb84deb,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00028-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,74038119,1066,47,2cac1d0a6fd31f1b,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00029-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,74134748,1066,47,3d297a1241a1ec3c,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00030-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,70229372,1066,47,01ae6ca86e5f5f86,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00031-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,67392879,1066,47,b1cffbb0c6172dac,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00032-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,67051812,1066,47,413a0091fc277ebb,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00033-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,131915584,1066,47,a5fe0e2ce41c7b7f,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00034-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,68429148,1066,47,4a585b928831db3b,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00035-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,74443318,1066,47,b355ab1f1e27bce8,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00036-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,129338673,1066,47,0230078dbe1d8dee,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
part-00037-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,63328378,1066,47,e071744b54f0b828,first 1066 rows of every file = ceil(MAX_ROWS/#files),ok
