Client,TrainRows,Availability,Reliability,MeanStaleness,TrainShare
0,7382,0.8786241774801468,0.8428859631305746,1.7454762558404884,0.07015509769634304
1,20228,0.851052490461371,0.7463696574085419,1.9561202329461607,0.1922375123545959
2,12301,0.874010292716527,0.9400980054775471,0.4306045388159826,0.11690298791150308
3,26306,0.7621389376424041,0.8238234467851228,1.8681769799274832,0.25
4,770,0.8317914432290392,0.9503732517158324,0.998145557889196,0.007317722192655668
5,461,0.6818059398425197,0.8752837403644338,0.3148710609875156,0.004381129780278263
6,1028,0.8979472219173295,0.8968660317541781,1.564557932153673,0.009769634303961074
7,9356,0.7276293485267527,0.991795446830573,1.8076180183799557,0.08891507640842393
8,26306,0.8802180589465542,0.7744988381985509,1.0400978067086615,0.25
9,1086,0.6157693556834023,0.7632010577789133,1.4294881158364183,0.010320839352239033
